"","family","A.art_S7","A.tri_S6","B.pap_S3","B.sco_S5","C.ill_S4","mix10_S37","mix10_S38","mix10_S39","mix11_S40","mix11_S41","mix11_S42","mix12_S43","mix12_S44","mix12_S45","mix13_S46","mix13_S47","mix13_S48","mix14_S49","mix14_S50","mix14_S51","mix15_S52","mix15_S53","mix15_S54","mix16_S55","mix16_S56","mix16_S57","mix17_S58","mix17_S59","mix17_S60","mix18_S61","mix18_S62","mix18_S63","mix19_S64","mix19_S65","mix19_S66","mix1_S10","mix1_S11","mix1_S12","mix20_S67","mix20_S68","mix20_S69","mix21_S70","mix21_S71","mix21_S72","mix22_S73","mix22_S74","mix22_S75","mix23_S76","mix23_S77","mix23_S78","mix24_S79","mix24_S80","mix24_S81","mix25_S82","mix25_S83","mix25_S84","mix26_S85","mix26_S86","mix26_S87","mix27_S88","mix27_S89","mix27_S90","mix28_S91","mix28_S92","mix28_S93","mix2_S13","mix2_S14","mix2_S15","mix3_S16","mix3_S17","mix3_S18","mix4_S19","mix4_S20","mix4_S21","mix5_S22","mix5_S23","mix5_S24","mix6_S25","mix6_S26","mix6_S27","mix7_S28","mix7_S29","mix7_S30","mix8_S31","mix8_S32","mix8_S33","mix9_S34","mix9_S35","mix9_S36","P.del_S2","P.pra_S8","P.tre_S1","Z.mays_S9"
"1","Aceraceae",0,0,0,0,0,0,0,0,0,0,0,79,29,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Amaranthaceae",30,0,0,22870,0,0,0,0,0,0,0,0,0,0,0,0,0,2954,4442,3924,1190,2451,2749,0,0,0,0,0,0,0,0,0,12342,2944,3968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,2436,2754,3183,3436,2385,9107,2698,1614,2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Asteraceae",31181,23558,0,0,0,0,0,0,0,0,0,0,0,0,11552,31853,12530,6761,10288,9753,6765,14508,15116,23038,31255,18926,0,0,0,19206,19874,17147,0,0,0,10995,10862,6920,11079,6959,11901,0,0,0,0,0,0,0,0,0,0,21024,20528,33439,25003,17252,29390,39736,68084,98173,23358,29082,26106,19336,32529,6960,6811,8063,9234,6855,22905,14918,9473,13582,0,0,0,0,0,0,9127,7114,37230,0,0,0,0,0,0,0,0,0,4253
"4","Betulaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Brassicaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Cannabaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Cupressaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Fabaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4880
"9","Fagaceae",0,0,54,0,0,0,0,0,0,0,0,96,40,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Juglandaceae",0,0,0,0,3383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0,0,0,0,0,0,362,319,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,35,236,37,33,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Moraceae",0,0,305,0,0,40,50,40,41,28,53,331,118,386,58,150,56,34,60,76,0,0,54,0,0,0,90,150,95,0,0,0,127,36,60,66,49,30,0,0,0,126,82,104,89,126,170,47,61,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,60,59,45,29,134,52,30,44,0,0,0,0,0,0,40,0,225,0,125,95,65,70,34,0,0,0,0
"12","Onagraceae",0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Pinaceae",0,0,0,0,41,791,878,657,877,561,956,0,0,0,140,420,113,60,87,90,31,60,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,31,44,68,138,162,356,606,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,63,67,64,42,257,54,37,67,0,0,0,632,937,1256,0,0,0,63,382,181,688,745,300,0,1138,0,0
"14","Plantaginaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Poaceae",0,0,0,0,0,17580,22687,20919,26078,16944,23223,205,96,189,6970,19494,6769,4179,6154,5751,1973,3714,4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2933,1657,3052,6655,8971,8400,12671,12566,14374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3467,3797,4331,5035,3582,13560,3801,2396,3298,0,0,0,16785,21971,26176,0,0,0,948,14164,8881,19870,20776,8954,0,19180,0,337
"16","Rosaceae",0,0,0,0,0,0,0,0,0,0,0,37,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Salicaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,720,764,151,414,500,0,0,0,2219,3192,2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,400,1458,1141,662,958,16322,12752,15684,0,0,0,0,0,0,0,0,0,0,0,0,13003,0,8777,0
"18","Sarcobataceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Urticaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
