"","unique.krak.sample.id."
"1","c_illinoinensis/EIGC13-3_S18_L001_R1_001"
"2","c_illinoinensis/EIGC13-3_S18_L001_R2_001"
"3","c_illinoinensis/EIGC13-3_S18_L002_R1_001"
"4","c_illinoinensis/EIGC13-3_S18_L002_R2_001"
"5","replacement_mix_1/EIGC13-1_S16_L001_R1_001"
"6","replacement_mix_1/EIGC13-1_S16_L001_R2_001"
"7","replacement_mix_1/EIGC13-1_S16_L002_R1_001"
"8","replacement_mix_1/EIGC13-1_S16_L002_R2_001"
"9","replacement_mix_2/EIGC13-2_S17_L001_R1_001"
"10","replacement_mix_2/EIGC13-2_S17_L001_R2_001"
"11","replacement_mix_2/EIGC13-2_S17_L002_R1_001"
"12","replacement_mix_2/EIGC13-2_S17_L002_R2_001"
"13","A-artemisiifolia-F3_S17_L001_R1_001"
"14","A-artemisiifolia-F3_S17_L001_R2_001"
"15","A-tridentata-A3_S14_L001_R1_001"
"16","A-tridentata-A3_S14_L001_R2_001"
"17","B-scoparia-H2_S13_L001_R1_001"
"18","B-scoparia-H2_S13_L001_R2_001"
"19","mix-10-B2_S8_L001_R1_001"
"20","mix-10-B2_S8_L001_R2_001"
"21","mix-11-C2_S9_L001_R1_001"
"22","mix-11-C2_S9_L001_R2_001"
"23","mix-3-C1_S1_L001_R1_001"
"24","mix-3-C1_S1_L001_R2_001"
"25","mix-4-D1_S2_L001_R1_001"
"26","mix-4-D1_S2_L001_R2_001"
"27","mix-5-E1_S3_L001_R1_001"
"28","mix-5-E1_S3_L001_R2_001"
"29","mix-6-F1_S4_L001_R1_001"
"30","mix-6-F1_S4_L001_R2_001"
"31","mix-7-G1_S5_L001_R1_001"
"32","mix-7-G1_S5_L001_R2_001"
"33","mix-8-H1_S6_L001_R1_001"
"34","mix-8-H1_S6_L001_R2_001"
"35","mix-9-A2_S7_L001_R1_001"
"36","mix-9-A2_S7_L001_R2_001"
"37","P-deltoides-E2_S11_L001_R1_001"
"38","P-deltoides-E2_S11_L001_R2_001"
"39","P-pratensis-G3_S18_L001_R1_001"
"40","P-pratensis-G3_S18_L001_R2_001"
"41","P-tremuloides-D2_S10_L001_R1_001"
"42","P-tremuloides-D2_S10_L001_R2_001"
"43","Z-mays-D3_S15_L001_R1_001"
"44","Z-mays-D3_S15_L001_R2_001"
